AGROINDUSTRIAL LOS ROBLES S.A. — Licitación Pública N° 128-2026,,,,,
Anexo N°5 — Oferta Económica,,,,,
Ítem,Descripción,Cantidad,Unidad,Precio Unitario Neto (CLP),Subtotal Neto (CLP)
1,"Unidad condensadora industrial NH3, ≥250 TR",6,unidad,"$12,500,000 (EJEMPLO)","$75,000,000 (EJEMPLO)"
2,"Torre de enfriamiento tiro inducido, 1.200 m³/h",2,unidad,,
3,Sistema de control y monitoreo remoto de temperatura,4,cámara,,
4,Válvulas de expansión electrónicas,12,unidad,,
5,Servicio de mantención preventiva mensual (24 meses),24,mes,,
6,Capacitación técnica al personal de mantención,16,hora,,
"Nota: formato oficial del Anexo N°5 referenciado en el punto 8 de las Bases. El ítem 1 se muestra como EJEMPLO de formato; ningún oferente presentó esta planilla completa junto a su propuesta.",,,,,
,,,,TOTAL NETO,
,,,,IVA (19%),
,,,,TOTAL CON IVA,
